Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	-2.73743246e-38	-2.73743246e-38	-2.73743246e-38	-2.73743246e-38	0	0	0	0	0	0	3
5	2	0	0.001953125	-4.4189573e-17	-2.20947865e-17	-4.4189573e-17	-2.73743246e-38	2.20947865e-17	0	0	0	0	0	3
10	3	0	0.00390625	-6.78461853e-17	-3.73452528e-17	-6.78461853e-17	-2.73743246e-38	3.73452528e-17	0	0	0	0	0	3
15	5	0	0.005859375	-1.28442089e-16	-6.01194619e-17	-1.28442089e-16	-2.73743246e-38	6.01194619e-17	0	0	0	0	0	3
20	6	0	0.0078125	-2.1461386e-16	-9.10183415e-17	-2.1461386e-16	-2.73743246e-38	9.10183415e-17	0	0	0	0	0	3
25	7	0	0.009765625	-2.99650091e-16	-1.257903e-16	-2.99650091e-16	-2.73743246e-38	1.257903e-16	0	0	0	0	0	3
30	8	0	0.01171875	-4.68976944e-16	-1.74816963e-16	-4.68976944e-16	-2.73743246e-38	1.74816963e-16	0	0	0	0	0	3
35	9	0	0.013671875	-5.84705275e-16	-2.26053002e-16	-5.84705275e-16	-2.73743246e-38	2.26053002e-16	0	0	0	0	0	3
40	11	0	0.015625	-8.3679131e-16	-2.93912814e-16	-8.3679131e-16	-2.73743246e-38	2.93912814e-16	0	0	0	0	0	3
45	12	0	0.017578125	-1.02494977e-15	-3.6701651e-16	-1.02494977e-15	-2.73743246e-38	3.6701651e-16	0	0	0	0	0	3
50	13	0	0.01953125	-1.30733085e-15	-4.52499632e-16	-1.30733085e-15	-2.73743246e-38	4.52499632e-16	0	0	0	0	0	3
55	15	0	0.021484375	-1.62399919e-15	-5.50124595e-16	-1.62399919e-15	-2.73743246e-38	5.50124595e-16	0	0	0	0	0	3
60	17	0	0.0234375	-1.99507922e-15	-6.61274951e-16	-1.99507922e-15	-2.73743246e-38	6.61274951e-16	0	0	0	0	0	3
65	20	0	0.025390625	-2.40689031e-15	-7.85961762e-16	-2.40689031e-15	-2.73743246e-38	7.85961762e-16	0	0	0	0	0	3
70	23	0	0.02734375	-2.87168271e-15	-9.25009826e-16	-2.87168271e-15	-2.73743246e-38	9.25009826e-16	0	0	0	0	0	3
75	25	0	0.029296875	-3.39806032e-15	-1.07957548e-15	-3.39806032e-15	-2.73743246e-38	1.07957548e-15	0	0	0	0	0	3
80	28	0	0.03125	-3.99095713e-15	-1.25083323e-15	-3.99095713e-15	-2.73743246e-38	1.25083323e-15	0	0	0	0	0	3
85	30	0	0.033203125	-4.64596565e-15	-1.43945169e-15	-4.64596565e-15	-2.73743246e-38	1.43945169e-15	0	0	0	0	0	3
90	33	0	0.03515625	-5.35923646e-15	-1.64575615e-15	-5.35923646e-15	-2.73743246e-38	1.64575615e-15	0	0	0	0	0	3
95	35	0	0.037109375	-6.12696134e-15	-1.86981641e-15	-6.12696134e-15	-2.73743246e-38	1.86981641e-15	0	0	0	0	0	3
100	37	0	0.0390625	-6.94523607e-15	-2.11150306e-15	-6.94523607e-15	-2.73743246e-38	2.11150306e-15	0	0	0	0	0	3
105	40	0	0.041015625	-7.8100402e-15	-2.37052748e-15	-7.8100402e-15	-2.73743246e-38	2.37052748e-15	0	0	0	0	0	3
110	43	0	0.04296875	-8.71728267e-15	-2.64647336e-15	-8.71728267e-15	-2.73743246e-38	2.64647336e-15	0	0	0	0	0	3
115	45	0	0.044921875	-9.66278223e-15	-2.93881956e-15	-9.66278223e-15	-2.73743246e-38	2.93881956e-15	0	0	0	0	0	3
120	48	0	0.046875	-1.06423541e-14	-3.24696094e-15	-1.06423541e-14	-2.73743246e-38	3.24696094e-15	0	0	0	0	0	3
125	50	0	0.048828125	-1.16518551e-14	-3.5702261e-15	-1.16518551e-14	-2.73743246e-38	3.5702261e-15	0	0	0	0	0	3
130	52	0	0.05078125	-1.2687279e-14	-3.90789473e-15	-1.2687279e-14	-2.73743246e-38	3.90789473e-15	0	0	0	0	0	3
135	54	0	0.052734375	-1.3744777e-14	-4.25921195e-15	-1.3744777e-14	-2.73743246e-38	4.25921195e-15	0	0	0	0	0	3
140	57	0	0.0546875	-1.48206303e-14	-4.62339879e-15	-1.48206303e-14	-2.73743246e-38	4.62339879e-15	0	0	0	0	0	3
145	59	0	0.056640625	-1.59113172e-14	-4.99966274e-15	-1.59113172e-14	-2.73743246e-38	4.99966274e-15	0	0	0	0	0	3
150	61	0	0.05859375	-1.70135116e-14	-5.38720625e-15	-1.70135116e-14	-2.73743246e-38	5.38720625e-15	0	0	0	0	0	3
155	63	0	0.060546875	-1.81240934e-14	-5.78523397e-15	-1.81240934e-14	-2.73743246e-38	5.78523397e-15	0	0	0	0	0	3
