Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	-1.74800567e-43	-1.74800567e-43	-1.74800567e-43	-1.74800567e-43	0	0	0	0	0	0	3
5	2	0	0.001953125	-2.82175462e-22	-1.41087731e-22	-2.82175462e-22	-1.74800567e-43	1.41087731e-22	0	0	0	0	0	3
10	3	0	0.00390625	-4.33236328e-22	-2.38470597e-22	-4.33236328e-22	-1.74800567e-43	2.38470597e-22	0	0	0	0	0	3
15	5	0	0.005859375	-8.20175495e-22	-3.83896821e-22	-8.20175495e-22	-1.74800567e-43	3.83896821e-22	0	0	0	0	0	3
20	6	0	0.0078125	-1.37043105e-21	-5.81203668e-22	-1.37043105e-21	-1.74800567e-43	5.81203668e-22	0	0	0	0	0	3
25	7	0	0.009765625	-1.91343557e-21	-8.03242318e-22	-1.91343557e-21	-1.74800567e-43	8.03242318e-22	0	0	0	0	0	3
30	8	0	0.01171875	-2.99468341e-21	-1.11630533e-21	-2.99468341e-21	-1.74800567e-43	1.11630533e-21	0	0	0	0	0	3
35	9	0	0.013671875	-3.73367437e-21	-1.44347646e-21	-3.73367437e-21	-1.74800567e-43	1.44347646e-21	0	0	0	0	0	3
40	11	0	0.015625	-5.34338647e-21	-1.87679979e-21	-5.34338647e-21	-1.74800567e-43	1.87679979e-21	0	0	0	0	0	3
45	12	0	0.017578125	-6.54488482e-21	-2.3436083e-21	-6.54488482e-21	-1.74800567e-43	2.3436083e-21	0	0	0	0	0	3
50	13	0	0.01953125	-8.34804795e-21	-2.88946645e-21	-8.34804795e-21	-1.74800567e-43	2.88946645e-21	0	0	0	0	0	3
55	15	0	0.021484375	-1.03701547e-20	-3.51285713e-21	-1.03701547e-20	-1.74800567e-43	3.51285713e-21	0	0	0	0	0	3
