Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	300	300	300	300	0	0	0	1000	0	0	3
5	2	0	0.001953125	296.6986	298.3493	296.6986	300	1.65069998	0	0	1000	0	0	3
10	3	0	0.00390625	297.3783	298.025633	296.6986	300	1.97436661	0	0	1000	0	0	3
15	5	0	0.005859375	297.2812	297.839525	296.6986	300	2.1604749	0	0	1000	0	0	3
20	6	0	0.0078125	299.029	298.07742	296.6986	300	2.1604749	0	0	1000	0	0	3
25	7	0	0.009765625	295.145	297.588683	295.145	300	2.4113165	0	0	1000	0	0	3
30	8	0	0.01171875	299.3203	297.836057	295.145	300	2.4113165	0	0	1000	0	0	3
35	9	0	0.013671875	295.7276	297.5725	295.145	300	2.42749978	0	0	1000	0	0	3
40	11	0	0.015625	298.7377	297.701967	295.145	300	2.42749978	0	0	1000	0	0	3
45	12	0	0.017578125	297.281201	297.65989	295.145	300	2.42749978	0	0	1000	0	0	3
50	13	0	0.01953125	298.737701	297.757873	295.145	300	2.42749978	0	0	1000	0	0	3
55	15	0	0.021484375	298.640601	297.831434	295.145	300	2.42749978	0	0	1000	0	0	3
60	17	0	0.0234375	299.805801	297.983308	295.145	300	2.42749978	0	0	1000	0	0	3
65	20	0	0.025390625	299.708701	298.10655	295.145	300	2.42749978	0	0	1000	0	0	3
70	23	0	0.02734375	300.000001	298.23278	295.145	300.000001	2.42749978	0	0	1000	0	0	3
75	25	0	0.029296875	300.000001	298.343232	295.145	300.000001	2.42749978	0	0	1000	0	0	3
80	28	0	0.03125	300.000001	298.440689	295.145	300.000001	2.42749978	0	0	1000	0	0	3
85	30	0	0.033203125	300.000001	298.527317	295.145	300.000001	2.42749978	0	0	1000	0	0	3
90	33	0	0.03515625	300.000001	298.604827	295.145	300.000001	2.42749978	0	0	1000	0	0	3
95	35	0	0.037109375	300.000001	298.674585	295.145	300.000001	2.42749978	0	0	1000	0	0	3
100	37	0	0.0390625	300.000001	298.737701	295.145	300.000001	2.42749978	0	0	1000	0	0	3
105	40	0	0.041015625	300.000001	298.795078	295.145	300.000001	2.42749978	0	0	1000	0	0	3
110	43	0	0.04296875	300.000001	298.847466	295.145	300.000001	2.42749978	0	0	1000	0	0	3
115	45	0	0.044921875	300.000001	298.895488	295.145	300.000001	2.42749978	0	0	1000	0	0	3
120	48	0	0.046875	300.000001	298.939669	295.145	300.000001	2.42749978	0	0	1000	0	0	3
125	50	0	0.048828125	300.000001	298.980451	295.145	300.000001	2.42749978	0	0	1000	0	0	3
130	52	0	0.05078125	300.000001	299.018212	295.145	300.000001	2.42749978	0	0	1000	0	0	3
135	54	0	0.052734375	300.000001	299.053276	295.145	300.000001	2.42749978	0	0	1000	0	0	3
140	57	0	0.0546875	300.000001	299.085921	295.145	300.000001	2.42749978	0	0	1000	0	0	3
145	59	0	0.056640625	300.000001	299.116391	295.145	300.000001	2.42749978	0	0	1000	0	0	3
150	61	0	0.05859375	300.000001	299.144894	295.145	300.000001	2.42749978	0	0	1000	0	0	3
155	63	0	0.060546875	300.000001	299.171616	295.145	300.000001	2.42749978	0	0	1000	0	0	3
160	65	0	0.0625	300.000001	299.196719	295.145	300.000001	2.42749978	0	0	1000	0	0	3
165	67	0	0.064453125	300.000001	299.220345	295.145	300.000001	2.42749978	0	0	1000	0	0	3
