Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	1	1	1	1	0	0	0	0	0	0	3
5	2	0	0.001953125	0.385753015	0.692876508	0.385753015	1	0.307123492	0	0	0	0	0	3
10	3	0	0.00390625	0.490554243	0.625435753	0.385753015	1	0.374564247	0	0	0	0	0	3
15	5	0	0.005859375	0.497209971	0.593379307	0.385753015	1	0.406620693	0	0	0	0	0	3
20	6	0	0.0078125	0.501530115	0.575009469	0.385753015	1	0.424990531	0	0	0	0	0	3
25	7	0	0.009765625	0.505714786	0.563460355	0.385753015	1	0.436539645	0	0	0	0	0	3
30	8	0	0.01171875	0.508421883	0.555597716	0.385753015	1	0.444402284	0	0	0	0	0	3
35	9	0	0.013671875	0.510714981	0.549987374	0.385753015	1	0.450012626	0	0	0	0	0	3
40	11	0	0.015625	0.513021812	0.54588009	0.385753015	1	0.45411991	0	0	0	0	0	3
45	12	0	0.017578125	0.514725386	0.542764619	0.385753015	1	0.457235381	0	0	0	0	0	3
50	13	0	0.01953125	0.516611827	0.540387093	0.385753015	1	0.459612907	0	0	0	0	0	3
55	15	0	0.021484375	0.518320227	0.538548187	0.385753015	1	0.461451813	0	0	0	0	0	3
60	17	0	0.0234375	0.520134372	0.53713174	0.385753015	1	0.46286826	0	0	0	0	0	3
65	20	0	0.025390625	0.521751853	0.536033177	0.385753015	1	0.463966823	0	0	0	0	0	3
70	23	0	0.02734375	0.523445141	0.535193974	0.385753015	1	0.464806026	0	0	0	0	0	3
75	25	0	0.029296875	0.525136433	0.534565378	0.385753015	1	0.465434622	0	0	0	0	0	3
80	28	0	0.03125	0.526886444	0.534113676	0.385753015	1	0.465886324	0	0	0	0	0	3
85	30	0	0.033203125	0.528667291	0.533811099	0.385753015	1	0.466188901	0	0	0	0	0	3
90	33	0	0.03515625	0.530460469	0.53363475	0.385753015	1	0.46636525	0	0	0	0	0	3
95	35	0	0.037109375	0.532251093	0.533565567	0.385753015	1	0.466434433	0	0	0	0	0	3
100	37	0	0.0390625	0.5340272	0.53358755	0.385753015	1	0.466434433	0	0	0	0	0	3
105	40	0	0.041015625	0.53577883	0.533687153	0.385753015	1	0.466434433	0	0	0	0	0	3
110	43	0	0.04296875	0.537497725	0.53385283	0.385753015	1	0.466434433	0	0	0	0	0	3
115	45	0	0.044921875	0.539176607	0.534074654	0.385753015	1	0.466434433	0	0	0	0	0	3
120	48	0	0.046875	0.540809371	0.534344043	0.385753015	1	0.466434433	0	0	0	0	0	3
125	50	0	0.048828125	0.542390989	0.534653541	0.385753015	1	0.466434433	0	0	0	0	0	3
130	52	0	0.05078125	0.543917399	0.534996647	0.385753015	1	0.466434433	0	0	0	0	0	3
135	54	0	0.052734375	0.545385876	0.535367691	0.385753015	1	0.466434433	0	0	0	0	0	3
140	57	0	0.0546875	0.546794401	0.535761715	0.385753015	1	0.466434433	0	0	0	0	0	3
145	59	0	0.056640625	0.548141886	0.536174388	0.385753015	1	0.466434433	0	0	0	0	0	3
150	61	0	0.05859375	0.549428021	0.536601924	0.385753015	1	0.466434433	0	0	0	0	0	3
155	63	0	0.060546875	0.550653171	0.537041026	0.385753015	1	0.466434433	0	0	0	0	0	3
160	65	0	0.0625	0.551818256	0.53748882	0.385753015	1	0.466434433	0	0	0	0	0	3
165	67	0	0.064453125	0.552924708	0.537942817	0.385753015	1	0.466434433	0	0	0	0	0	3
170	70	0	0.06640625	0.553974757	0.538400873	0.385753015	1	0.466434433	0	0	0	0	0	3
175	72	0	0.068359375	0.554971962	0.538861181	0.385753015	1	0.466434433	0	0	0	0	0	3
180	74	0	0.0703125	0.555920015	0.53932223	0.385753015	1	0.466434433	0	0	0	0	0	3
185	76	0	0.072265625	0.556822574	0.539782766	0.385753015	1	0.466434433	0	0	0	0	0	3
190	78	0	0.07421875	0.557683178	0.54024175	0.385753015	1	0.466434433	0	0	0	0	0	3
195	81	0	0.076171875	0.558505292	0.540698339	0.385753015	1	0.466434433	0	0	0	0	0	3
200	83	0	0.078125	0.55929227	0.541151849	0.385753015	1	0.466434433	0	0	0	0	0	3
205	86	0	0.080078125	0.560047355	0.541601742	0.385753015	1	0.466434433	0	0	0	0	0	3
210	91	0	0.08203125	0.560773658	0.542047601	0.385753015	1	0.466434433	0	0	0	0	0	3
215	93	0	0.083984375	0.561474144	0.542489113	0.385753015	1	0.466434433	0	0	0	0	0	3
220	95	0	0.0859375	0.562151635	0.542926058	0.385753015	1	0.466434433	0	0	0	0	0	3
225	97	0	0.087890625	0.562808786	0.543358291	0.385753015	1	0.466434433	0	0	0	0	0	3
230	99	0	0.08984375	0.563448101	0.543785734	0.385753015	1	0.466434433	0	0	0	0	0	3
235	101	0	0.091796875	0.564071936	0.544208363	0.385753015	1	0.466434433	0	0	0	0	0	3
240	104	0	0.09375	0.564682499	0.544626203	0.385753015	1	0.466434433	0	0	0	0	0	3
245	106	0	0.095703125	0.565281847	0.545039316	0.385753015	1	0.466434433	0	0	0	0	0	3
250	108	0	0.09765625	0.565871892	0.545447798	0.385753015	1	0.466434433	0	0	0	0	0	3
255	110	0	0.099609375	0.566454408	0.545851771	0.385753015	1	0.466434433	0	0	0	0	0	3
260	112	0	0.1015625	0.56703104	0.54625138	0.385753015	1	0.466434433	0	0	0	0	0	3
265	114	0	0.103515625	0.567603305	0.546646786	0.385753015	1	0.466434433	0	0	0	0	0	3
270	116	0	0.10546875	0.568172604	0.547038164	0.385753015	1	0.466434433	0	0	0	0	0	3
275	118	0	0.107421875	0.56874023	0.547425701	0.385753015	1	0.466434433	0	0	0	0	0	3
