Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	4.68457791e-34	4.68457791e-34	4.68457791e-34	4.68457791e-34	0	0	0	0	0	0	3
5	2	0	0.001953125	1.324823e-12	6.62411498e-13	4.68457791e-34	1.324823e-12	6.62411498e-13	0	0	0	0	0	3
10	3	0	0.00390625	8.03460892e-12	3.11981064e-12	4.68457791e-34	8.03460892e-12	3.11981064e-12	0	0	0	0	0	3
15	5	0	0.005859375	1.98665556e-11	7.30649687e-12	4.68457791e-34	1.98665556e-11	7.30649687e-12	0	0	0	0	0	3
20	6	0	0.0078125	3.59924873e-11	1.3043695e-11	4.68457791e-34	3.59924873e-11	1.3043695e-11	0	0	0	0	0	3
25	7	0	0.009765625	5.3320444e-11	1.97564865e-11	4.68457791e-34	5.3320444e-11	1.97564865e-11	0	0	0	0	0	3
30	8	0	0.01171875	7.66331226e-11	2.78817202e-11	4.68457791e-34	7.66331226e-11	2.78817202e-11	0	0	0	0	0	3
35	9	0	0.013671875	9.74944092e-11	3.65833063e-11	4.68457791e-34	9.74944092e-11	3.65833063e-11	0	0	0	0	0	3
40	11	0	0.015625	1.24344451e-10	4.63345447e-11	4.68457791e-34	1.24344451e-10	4.63345447e-11	0	0	0	0	0	3
45	12	0	0.017578125	1.48501928e-10	5.65512831e-11	4.68457791e-34	1.48501928e-10	5.65512831e-11	0	0	0	0	0	3
50	13	0	0.01953125	1.77062804e-10	6.75068759e-11	4.68457791e-34	1.77062804e-10	6.75068759e-11	0	0	0	0	0	3
55	15	0	0.021484375	2.0455124e-10	7.89272396e-11	4.68457791e-34	2.0455124e-10	7.89272396e-11	0	0	0	0	0	3
60	17	0	0.0234375	2.34603043e-10	9.09023014e-11	4.68457791e-34	2.34603043e-10	9.09023014e-11	0	0	0	0	0	3
65	20	0	0.025390625	2.63228845e-10	1.0321134e-10	4.68457791e-34	2.63228845e-10	1.0321134e-10	0	0	0	0	0	3
70	23	0	0.02734375	2.92965174e-10	1.15861596e-10	4.68457791e-34	2.92965174e-10	1.15861596e-10	0	0	0	0	0	3
75	25	0	0.029296875	3.22450764e-10	1.28773419e-10	4.68457791e-34	3.22450764e-10	1.28773419e-10	0	0	0	0	0	3
80	28	0	0.03125	3.52170674e-10	1.41914434e-10	4.68457791e-34	3.52170674e-10	1.41914434e-10	0	0	0	0	0	3
85	30	0	0.033203125	3.82077035e-10	1.55256801e-10	4.68457791e-34	3.82077035e-10	1.55256801e-10	0	0	0	0	0	3
90	33	0	0.03515625	4.12129784e-10	1.68776431e-10	4.68457791e-34	4.12129784e-10	1.68776431e-10	0	0	0	0	0	3
95	35	0	0.037109375	4.42293309e-10	1.82452275e-10	4.68457791e-34	4.42293309e-10	1.82452275e-10	0	0	0	0	0	3
100	37	0	0.0390625	4.72534268e-10	1.96265703e-10	4.68457791e-34	4.72534268e-10	1.96265703e-10	0	0	0	0	0	3
105	40	0	0.041015625	5.02820076e-10	2.10199993e-10	4.68457791e-34	5.02820076e-10	2.10199993e-10	0	0	0	0	0	3
110	43	0	0.04296875	5.33118321e-10	2.2423992e-10	4.68457791e-34	5.33118321e-10	2.2423992e-10	0	0	0	0	0	3
115	45	0	0.044921875	5.63395918e-10	2.3837142e-10	4.68457791e-34	5.63395918e-10	2.3837142e-10	0	0	0	0	0	3
120	48	0	0.046875	5.9361893e-10	2.52581321e-10	4.68457791e-34	5.9361893e-10	2.52581321e-10	0	0	0	0	0	3
125	50	0	0.048828125	6.23752279e-10	2.66857127e-10	4.68457791e-34	6.23752279e-10	2.66857127e-10	0	0	0	0	0	3
130	52	0	0.05078125	6.53760696e-10	2.81186889e-10	4.68457791e-34	6.53760696e-10	2.81186889e-10	0	0	0	0	0	3
135	54	0	0.052734375	6.83608553e-10	2.95559091e-10	4.68457791e-34	6.83608553e-10	2.95559091e-10	0	0	0	0	0	3
140	57	0	0.0546875	7.13259816e-10	3.09962564e-10	4.68457791e-34	7.13259816e-10	3.09962564e-10	0	0	0	0	0	3
