Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	-8.18866876e-37	-8.18866876e-37	-8.18866876e-37	-8.18866876e-37	0	0	0	0	0	0	3
5	2	0	0.001953125	-1.32187289e-15	-6.60936447e-16	-1.32187289e-15	-8.18866876e-37	6.60936447e-16	0	0	0	0	0	3
10	3	0	0.00390625	-2.0295293e-15	-1.11713406e-15	-2.0295293e-15	-8.18866876e-37	1.11713406e-15	0	0	0	0	0	3
15	5	0	0.005859375	-3.84217597e-15	-1.79839454e-15	-3.84217597e-15	-8.18866876e-37	1.79839454e-15	0	0	0	0	0	3
20	6	0	0.0078125	-6.41989104e-15	-2.72269384e-15	-6.41989104e-15	-8.18866876e-37	2.72269384e-15	0	0	0	0	0	3
25	7	0	0.009765625	-8.96363793e-15	-3.76285119e-15	-8.96363793e-15	-8.18866876e-37	3.76285119e-15	0	0	0	0	0	3
30	8	0	0.01171875	-1.40288278e-14	-5.22941927e-15	-1.40288278e-14	-8.18866876e-37	5.22941927e-15	0	0	0	0	0	3
35	9	0	0.013671875	-1.74906884e-14	-6.76207791e-15	-1.74906884e-14	-8.18866876e-37	6.76207791e-15	0	0	0	0	0	3
40	11	0	0.015625	-2.50315102e-14	-8.79201484e-15	-2.50315102e-14	-8.18866876e-37	8.79201484e-15	0	0	0	0	0	3
45	12	0	0.017578125	-3.06600228e-14	-1.09788156e-14	-3.06600228e-14	-8.18866876e-37	1.09788156e-14	0	0	0	0	0	3
50	13	0	0.01953125	-3.9107081e-14	-1.35359307e-14	-3.9107081e-14	-8.18866876e-37	1.35359307e-14	0	0	0	0	0	3
55	15	0	0.021484375	-4.85797975e-14	-1.64562529e-14	-4.85797975e-14	-8.18866876e-37	1.64562529e-14	0	0	0	0	0	3
60	17	0	0.0234375	-5.96801679e-14	-1.97811694e-14	-5.96801679e-14	-8.18866876e-37	1.97811694e-14	0	0	0	0	0	3
65	20	0	0.025390625	-7.19989544e-14	-2.35110112e-14	-7.19989544e-14	-8.18866876e-37	2.35110112e-14	0	0	0	0	0	3
70	23	0	0.02734375	-8.59026071e-14	-2.76704509e-14	-8.59026071e-14	-8.18866876e-37	2.76704509e-14	0	0	0	0	0	3
75	25	0	0.029296875	-1.016485e-13	-3.2294079e-14	-1.016485e-13	-8.18866876e-37	3.2294079e-14	0	0	0	0	0	3
80	28	0	0.03125	-1.19384227e-13	-3.74170289e-14	-1.19384227e-13	-8.18866876e-37	3.74170289e-14	0	0	0	0	0	3
85	30	0	0.033203125	-1.38977945e-13	-4.3059302e-14	-1.38977945e-13	-8.18866876e-37	4.3059302e-14	0	0	0	0	0	3
90	33	0	0.03515625	-1.60314502e-13	-4.92306284e-14	-1.60314502e-13	-8.18866876e-37	4.92306284e-14	0	0	0	0	0	3
95	35	0	0.037109375	-1.83279981e-13	-5.5933096e-14	-1.83279981e-13	-8.18866876e-37	5.5933096e-14	0	0	0	0	0	3
100	37	0	0.0390625	-2.07757592e-13	-6.31628339e-14	-2.07757592e-13	-8.18866876e-37	6.31628339e-14	0	0	0	0	0	3
105	40	0	0.041015625	-2.33627069e-13	-7.09112082e-14	-2.33627069e-13	-8.18866876e-37	7.09112082e-14	0	0	0	0	0	3
110	43	0	0.04296875	-2.60766033e-13	-7.91657658e-14	-2.60766033e-13	-8.18866876e-37	7.91657658e-14	0	0	0	0	0	3
115	45	0	0.044921875	-2.89049407e-13	-8.79109175e-14	-2.89049407e-13	-8.18866876e-37	8.79109175e-14	0	0	0	0	0	3
120	48	0	0.046875	-3.18352009e-13	-9.71285611e-14	-3.18352009e-13	-8.18866876e-37	9.71285611e-14	0	0	0	0	0	3
125	50	0	0.048828125	-3.48549902e-13	-1.06798613e-13	-3.48549902e-13	-8.18866876e-37	1.06798613e-13	0	0	0	0	0	3
130	52	0	0.05078125	-3.79523245e-13	-1.16899525e-13	-3.79523245e-13	-8.18866876e-37	1.16899525e-13	0	0	0	0	0	3
135	54	0	0.052734375	-4.11156905e-13	-1.27408717e-13	-4.11156905e-13	-8.18866876e-37	1.27408717e-13	0	0	0	0	0	3
140	57	0	0.0546875	-4.43339641e-13	-1.38302887e-13	-4.43339641e-13	-8.18866876e-37	1.38302887e-13	0	0	0	0	0	3
145	59	0	0.056640625	-4.75966102e-13	-1.49558327e-13	-4.75966102e-13	-8.18866876e-37	1.49558327e-13	0	0	0	0	0	3
150	61	0	0.05859375	-5.08936798e-13	-1.61151181e-13	-5.08936798e-13	-8.18866876e-37	1.61151181e-13	0	0	0	0	0	3
155	63	0	0.060546875	-5.42158388e-13	-1.73057657e-13	-5.42158388e-13	-8.18866876e-37	1.73057657e-13	0	0	0	0	0	3
160	65	0	0.0625	-5.75543818e-13	-1.85254207e-13	-5.75543818e-13	-8.18866876e-37	1.85254207e-13	0	0	0	0	0	3
165	67	0	0.064453125	-6.09012848e-13	-1.97717696e-13	-6.09012848e-13	-8.18866876e-37	1.97717696e-13	0	0	0	0	0	3
170	70	0	0.06640625	-6.42490994e-13	-2.10425505e-13	-6.42490994e-13	-8.18866876e-37	2.10425505e-13	0	0	0	0	0	3
175	72	0	0.068359375	-6.75910161e-13	-2.23355634e-13	-6.75910161e-13	-8.18866876e-37	2.23355634e-13	0	0	0	0	0	3
180	74	0	0.0703125	-7.0920777e-13	-2.36486773e-13	-7.0920777e-13	-8.18866876e-37	2.36486773e-13	0	0	0	0	0	3
185	76	0	0.072265625	-7.42327047e-13	-2.49798359e-13	-7.42327047e-13	-8.18866876e-37	2.49798359e-13	0	0	0	0	0	3
190	78	0	0.07421875	-7.75216057e-13	-2.63270608e-13	-7.75216057e-13	-8.18866876e-37	2.63270608e-13	0	0	0	0	0	3
195	81	0	0.076171875	-8.07827738e-13	-2.76884536e-13	-8.07827738e-13	-8.18866876e-37	2.76884536e-13	0	0	0	0	0	3
200	83	0	0.078125	-8.40119637e-13	-2.90621978e-13	-8.40119637e-13	-8.18866876e-37	2.90621978e-13	0	0	0	0	0	3
205	86	0	0.080078125	-8.72053702e-13	-3.0446559e-13	-8.72053702e-13	-8.18866876e-37	3.0446559e-13	0	0	0	0	0	3
210	91	0	0.08203125	-9.03595967e-13	-3.18398855e-13	-9.03595967e-13	-8.18866876e-37	3.18398855e-13	0	0	0	0	0	3
215	93	0	0.083984375	-9.3471625e-13	-3.32406068e-13	-9.3471625e-13	-8.18866876e-37	3.32406068e-13	0	0	0	0	0	3
220	95	0	0.0859375	-9.65387877e-13	-3.46472331e-13	-9.65387877e-13	-8.18866876e-37	3.46472331e-13	0	0	0	0	0	3
