Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	40.2126789	40.2126789	40.2126789	40.2126789	0	0	0	0	0	0	3
5	2	0	0.001953125	40.2273162	40.2199975	40.2126789	40.2273162	0.00731864443	0	0	0	0	0	3
10	3	0	0.00390625	40.2273701	40.2224551	40.2126789	40.2273701	0.00977616898	0	0	0	0	0	3
15	5	0	0.005859375	40.2308553	40.2245551	40.2126789	40.2308553	0.0118762375	0	0	0	0	0	3
20	6	0	0.0078125	40.2275527	40.2251546	40.2126789	40.2308553	0.0124757496	0	0	0	0	0	3
25	7	0	0.009765625	40.2273102	40.2255139	40.2126789	40.2308553	0.0128350105	0	0	0	0	0	3
30	8	0	0.01171875	40.2273284	40.2257731	40.2126789	40.2308553	0.0130942255	0	0	0	0	0	3
35	9	0	0.013671875	40.2274212	40.2259791	40.2126789	40.2308553	0.0133002338	0	0	0	0	0	3
40	11	0	0.015625	40.2275585	40.2261546	40.2126789	40.2308553	0.0134757236	0	0	0	0	0	3
45	12	0	0.017578125	40.2276251	40.2263017	40.2126789	40.2308553	0.0136227698	0	0	0	0	0	3
50	13	0	0.01953125	40.2276866	40.2264276	40.2126789	40.2308553	0.0137486781	0	0	0	0	0	3
55	15	0	0.021484375	40.2277097	40.2265344	40.2126789	40.2308553	0.0138555211	0	0	0	0	0	3
60	17	0	0.0234375	40.2277667	40.2266292	40.2126789	40.2308553	0.0139503115	0	0	0	0	0	3
65	20	0	0.025390625	40.2277873	40.2267119	40.2126789	40.2308553	0.0140330306	0	0	0	0	0	3
70	23	0	0.02734375	40.2278212	40.2267859	40.2126789	40.2308553	0.0141069831	0	0	0	0	0	3
75	25	0	0.029296875	40.2278381	40.2268516	40.2126789	40.2308553	0.0141727492	0	0	0	0	0	3
80	28	0	0.03125	40.2278923	40.2269129	40.2126789	40.2308553	0.0142339647	0	0	0	0	0	3
85	30	0	0.033203125	40.2278585	40.2269654	40.2126789	40.2308553	0.0142865034	0	0	0	0	0	3
90	33	0	0.03515625	40.2278861	40.2270139	40.2126789	40.2308553	0.0143349633	0	0	0	0	0	3
95	35	0	0.037109375	40.2279254	40.2270594	40.2126789	40.2308553	0.0143805419	0	0	0	0	0	3
100	37	0	0.0390625	40.2279689	40.2271027	40.2126789	40.2308553	0.014423852	0	0	0	0	0	3
105	40	0	0.041015625	40.2279602	40.2271417	40.2126789	40.2308553	0.0144628272	0	0	0	0	0	3
110	43	0	0.04296875	40.2278746	40.2271736	40.2126789	40.2308553	0.0144946929	0	0	0	0	0	3
115	45	0	0.044921875	40.2277568	40.2271979	40.2126789	40.2308553	0.0145189923	0	0	0	0	0	3
120	48	0	0.046875	40.2276028	40.2272141	40.2126789	40.2308553	0.0145351886	0	0	0	0	0	3
125	50	0	0.048828125	40.2273561	40.2272195	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
130	52	0	0.05078125	40.2270846	40.2272145	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
135	54	0	0.052734375	40.2267395	40.2271976	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
140	57	0	0.0546875	40.2263231	40.2271674	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
145	59	0	0.056640625	40.2258351	40.227123	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
150	61	0	0.05859375	40.2252505	40.2270626	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
155	63	0	0.060546875	40.2245419	40.2269838	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
160	65	0	0.0625	40.2237844	40.2268869	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
165	67	0	0.064453125	40.2228851	40.2267692	40.2126789	40.2308553	0.0145406526	0	0	0	0	0	3
170	70	0	0.06640625	73.1814805	41.1683324	40.2126789	73.1814805	0.955653478	0	0	0	0	0	3
175	72	0	0.068359375	73.182412	42.0576124	40.2126789	73.182412	1.84493347	0	0	0	0	0	3
