Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	169.189607	169.189607	169.189607	169.189607	0	0	0	0	0	0	3
5	2	0	0.001953125	169.209166	169.199386	169.189607	169.209166	0.00977935539	0	0	0	0	0	3
10	3	0	0.00390625	169.209166	169.202646	169.189607	169.209166	0.0130391347	0	0	0	0	0	3
15	5	0	0.005859375	169.209165	169.204276	169.189607	169.209166	0.0146687415	0	0	0	0	0	3
20	6	0	0.0078125	169.209166	169.205254	169.189607	169.209166	0.01564672	0	0	0	0	0	3
25	7	0	0.009765625	169.209166	169.205906	169.189607	169.209166	0.0162987188	0	0	0	0	0	3
30	8	0	0.01171875	169.209166	169.206371	169.189607	169.209166	0.0167644314	0	0	0	0	0	3
35	9	0	0.013671875	169.209166	169.206721	169.189607	169.209166	0.017113712	0	0	0	0	0	3
40	11	0	0.015625	169.209166	169.206992	169.189607	169.209166	0.0173853698	0	0	0	0	0	3
45	12	0	0.017578125	169.209166	169.20721	169.189607	169.209166	0.0176026939	0	0	0	0	0	3
50	13	0	0.01953125	169.209166	169.207388	169.189607	169.209166	0.0177805027	0	0	0	0	0	3
55	15	0	0.021484375	169.209166	169.207536	169.189607	169.209166	0.017928676	0	0	0	0	0	3
60	17	0	0.0234375	169.209166	169.207661	169.189607	169.209166	0.0180540521	0	0	0	0	0	3
65	20	0	0.025390625	169.209166	169.207769	169.189607	169.209166	0.0181615168	0	0	0	0	0	3
70	23	0	0.02734375	169.209166	169.207862	169.189607	169.209166	0.0182546521	0	0	0	0	0	3
75	25	0	0.029296875	169.209166	169.207943	169.189607	169.209166	0.0183361452	0	0	0	0	0	3
80	28	0	0.03125	169.209166	169.208015	169.189607	169.209166	0.0184080498	0	0	0	0	0	3
85	30	0	0.033203125	169.209166	169.208079	169.189607	169.209166	0.0184719656	0	0	0	0	0	3
90	33	0	0.03515625	169.209166	169.208136	169.189607	169.209166	0.018529153	0	0	0	0	0	3
95	35	0	0.037109375	169.209166	169.208188	169.189607	169.209166	0.018580621	0	0	0	0	0	3
100	37	0	0.0390625	169.209166	169.208234	169.189607	169.209166	0.0186271866	0	0	0	0	0	3
105	40	0	0.041015625	169.218274	169.208691	169.189607	169.218274	0.0190835559	0	0	0	0	0	3
110	43	0	0.04296875	169.234607	169.209817	169.189607	169.234607	0.020210352	0	0	0	0	0	3
115	45	0	0.044921875	169.257269	169.211795	169.189607	169.257269	0.0221875188	0	0	0	0	0	3
120	48	0	0.046875	169.281238	169.214572	169.189607	169.281238	0.0249652445	0	0	0	0	0	3
125	50	0	0.048828125	169.318671	169.218576	169.189607	169.318671	0.0289690343	0	0	0	0	0	3
130	52	0	0.05078125	169.359939	169.223812	169.189607	169.359939	0.0342046988	0	0	0	0	0	3
135	54	0	0.052734375	169.399368	169.230082	169.189607	169.399368	0.0404745478	0	0	0	0	0	3
140	57	0	0.0546875	169.446752	169.237553	169.189607	169.446752	0.0479459317	0	0	0	0	0	3
145	59	0	0.056640625	169.50229	169.246378	169.189607	169.50229	0.0567704937	0	0	0	0	0	3
150	61	0	0.05859375	169.556531	169.256382	169.189607	169.556531	0.0667754423	0	0	0	0	0	3
155	63	0	0.060546875	169.630026	169.268059	169.189607	169.630026	0.0784518041	0	0	0	0	0	3
160	65	0	0.0625	169.719014	169.281724	169.189607	169.719014	0.0921171138	0	0	0	0	0	3
165	67	0	0.064453125	169.812517	169.297336	169.189607	169.812517	0.107728662	0	0	0	0	0	3
170	70	0	0.06640625	206.471272	170.359448	169.189607	206.471272	1.16984112	0	0	0	0	0	3
175	72	0	0.068359375	206.497149	171.363273	169.189607	206.497149	2.17366616	0	0	0	0	0	3
180	74	0	0.0703125	206.531815	172.313774	169.189607	206.531815	3.12416729	0	0	0	0	0	3
185	76	0	0.072265625	206.56586	173.215145	169.189607	206.56586	4.02553797	0	0	0	0	0	3
190	78	0	0.07421875	206.587288	174.070841	169.189607	206.587288	4.88123394	0	0	0	0	0	3
195	81	0	0.076171875	206.604498	174.884182	169.189607	206.604498	5.69457537	0	0	0	0	0	3
200	83	0	0.078125	206.620326	175.658235	169.189607	206.620326	6.46862766	0	0	0	0	0	3
205	86	0	0.080078125	206.643587	176.395981	169.189607	206.643587	7.20637414	0	0	0	0	0	3
210	91	0	0.08203125	206.678075	177.100216	169.189607	206.678075	7.91060888	0	0	0	0	0	3
215	93	0	0.083984375	206.716464	177.773312	169.189607	206.716464	8.58370542	0	0	0	0	0	3
220	95	0	0.0859375	206.774347	178.41778	169.189607	206.774347	9.22817285	0	0	0	0	0	3
225	97	0	0.087890625	206.835147	179.035549	169.189607	206.835147	9.84594169	0	0	0	0	0	3
230	99	0	0.08984375	206.89583	179.628321	169.189607	206.89583	10.4387136	0	0	0	0	0	3
235	101	0	0.091796875	206.984062	180.198232	169.189607	206.984062	11.0086249	0	0	0	0	0	3
240	104	0	0.09375	207.077919	180.746797	169.189607	207.077919	11.5571899	0	0	0	0	0	3
245	106	0	0.095703125	207.173731	181.275336	169.189607	207.173731	12.0857286	0	0	0	0	0	3
250	108	0	0.09765625	207.278695	181.785205	169.189607	207.278695	12.5955984	0	0	0	0	0	3
255	110	0	0.099609375	207.39157	182.277636	169.189607	207.39157	13.0880285	0	0	0	0	0	3
260	112	0	0.1015625	207.517602	182.753861	169.189607	207.517602	13.5642543	0	0	0	0	0	3
265	114	0	0.103515625	207.646631	183.214839	169.189607	207.646631	14.0252315	0	0	0	0	0	3
270	116	0	0.10546875	207.801229	183.661864	169.189607	207.801229	14.4722568	0	0	0	0	0	3
275	118	0	0.107421875	207.956339	184.095694	169.189607	207.956339	14.9060867	0	0	0	0	0	3
280	120	0	0.109375	208.11452	184.517077	169.189607	208.11452	15.3274696	0	0	0	0	0	3
285	122	0	0.111328125	208.274751	184.926692	169.189607	208.274751	15.7370847	0	0	0	0	0	3
290	125	0	0.11328125	208.439199	185.325209	169.189607	208.439199	16.1356018	0	0	0	0	0	3
295	127	0	0.115234375	208.606541	185.713231	169.189607	208.606541	16.523624	0	0	0	0	0	3
300	129	0	0.1171875	208.786306	186.091478	169.189607	208.786306	16.9018711	0	0	0	0	0	3
305	132	0	0.119140625	208.971122	186.460505	169.189607	208.971122	17.2708976	0	0	0	0	0	3
310	134	0	0.12109375	209.151634	186.820681	169.189607	209.151634	17.6310743	0	0	0	0	0	3
315	136	0	0.123046875	209.333904	187.17245	169.189607	209.333904	17.9828434	0	0	0	0	0	3
320	138	0	0.125	209.517751	187.516224	169.189607	209.517751	18.3266172	0	0	0	0	0	3
325	140	0	0.126953125	209.705353	187.852423	169.189607	209.705353	18.6628161	0	0	0	0	0	3
330	142	0	0.12890625	209.893259	188.181391	169.189607	209.893259	18.9917838	0	0	0	0	0	3
335	144	0	0.130859375	227.470408	188.759171	169.189607	227.470408	19.5695635	0	0	0	0	0	3
340	146	0	0.1328125	227.578083	189.321763	169.189607	227.578083	20.1321564	0	0	0	0	0	3
345	148	0	0.134765625	227.657341	189.869415	169.189607	227.657341	20.6798076	0	0	0	0	0	3
350	150	0	0.13671875	227.746566	190.402896	169.189607	227.746566	21.2132886	0	0	0	0	0	3
355	152	0	0.138671875	227.86198	190.923161	169.189607	227.86198	21.7335536	0	0	0	0	0	3
360	154	0	0.140625	228.001727	191.431086	169.189607	228.001727	22.2414792	0	0	0	0	0	3
365	156	0	0.142578125	228.160367	191.927428	169.189607	228.160367	22.7378208	0	0	0	0	0	3
370	158	0	0.14453125	228.326705	192.412752	169.189607	228.326705	23.2231445	0	0	0	0	0	3
375	160	0	0.146484375	228.499806	192.887581	169.189607	228.499806	23.6979742	0	0	0	0	0	3
380	162	0	0.1484375	228.68259	193.352451	169.189607	228.68259	24.1628444	0	0	0	0	0	3
385	164	0	0.150390625	228.86995	193.807804	169.189607	228.86995	24.618197	0	0	0	0	0	3
390	166	0	0.15234375	229.053492	194.253952	169.189607	229.053492	25.0643449	0	0	0	0	0	3
395	168	0	0.154296875	229.237926	194.691252	169.189607	229.237926	25.5016446	0	0	0	0	0	3
400	170	0	0.15625	229.426323	195.12008	169.189607	229.426323	25.9304726	0	0	0	0	0	3
405	173	0	0.158203125	229.614247	195.54074	169.189607	229.614247	26.3511332	0	0	0	0	0	3
410	175	0	0.16015625	229.80649	195.953581	169.189607	229.80649	26.7639736	0	0	0	0	0	3
415	177	0	0.162109375	230.000096	196.358896	169.189607	230.000096	27.1692892	0	0	0	0	0	3
420	179	0	0.1640625	230.199629	196.757023	169.189607	230.199629	27.5674155	0	0	0	0	0	3
425	181	0	0.166015625	230.396443	197.148179	169.189607	230.396443	27.9585715	0	0	0	0	0	3
430	183	0	0.16796875	230.594675	197.532621	169.189607	230.594675	28.343014	0	0	0	0	0	3
