Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	1	1	1	1	0	0	0	0	0	0	3
5	2	0	0.001953125	0.999994004	0.999997002	0.999994004	1	2.99783142e-06	0	0	0	0	0	3
10	3	0	0.00390625	0.999996865	0.999996956	0.999994004	1	3.04369724e-06	0	0	0	0	0	3
15	5	0	0.005859375	0.999983988	0.999993714	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
20	6	0	0.0078125	0.999994654	0.999993902	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
25	7	0	0.009765625	0.999996267	0.999994296	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
30	8	0	0.01171875	0.999997963	0.99999482	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
35	9	0	0.013671875	0.999998833	0.999995322	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
40	11	0	0.015625	0.999998909	0.99999572	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
45	12	0	0.017578125	0.999999101	0.999996058	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
50	13	0	0.01953125	0.999999343	0.999996357	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
55	15	0	0.021484375	0.999999194	0.999996593	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
60	17	0	0.0234375	0.999999467	0.999996814	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
65	20	0	0.025390625	0.999999349	0.999996996	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
70	23	0	0.02734375	0.99999946	0.99999716	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
75	25	0	0.029296875	0.999999137	0.999997283	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
80	28	0	0.03125	0.999999003	0.999997385	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
85	30	0	0.033203125	0.999999039	0.999997477	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
90	33	0	0.03515625	0.999999178	0.999997566	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
95	35	0	0.037109375	0.999999034	0.999997639	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
100	37	0	0.0390625	0.999998622	0.999997686	0.999983988	1	6.28580484e-06	0	0	0	0	0	3
105	40	0	0.041015625	0.999919516	0.999994133	0.999919516	1	6.28580484e-06	0	0	0	0	0	3
110	43	0	0.04296875	0.999777993	0.999984736	0.999777993	1	1.52643427e-05	0	0	0	0	0	3
115	45	0	0.044921875	0.999580966	0.999967912	0.999580966	1	3.20880605e-05	0	0	0	0	0	3
120	48	0	0.046875	0.999381427	0.999944453	0.999381427	1	5.5547463e-05	0	0	0	0	0	3
125	50	0	0.048828125	0.999071783	0.999910888	0.999071783	1	8.91116658e-05	0	0	0	0	0	3
130	52	0	0.05078125	0.998722626	0.999866879	0.998722626	1	0.000133121372	0	0	0	0	0	3
135	54	0	0.052734375	0.998389162	0.999814103	0.998389162	1	0.000185896965	0	0	0	0	0	3
140	57	0	0.0546875	0.998041809	0.999752989	0.998041809	1	0.000247010559	0	0	0	0	0	3
145	59	0	0.056640625	0.997583739	0.999680681	0.997583739	1	0.000319318909	0	0	0	0	0	3
150	61	0	0.05859375	0.997141745	0.99959878	0.997141745	1	0.000401220085	0	0	0	0	0	3
155	63	0	0.060546875	0.996668598	0.999507212	0.996668598	1	0.000492788283	0	0	0	0	0	3
160	65	0	0.0625	0.996059957	0.999402749	0.996059957	1	0.000597250557	0	0	0	0	0	3
165	67	0	0.064453125	0.995398027	0.999284963	0.995398027	1	0.000715036509	0	0	0	0	0	3
170	70	0	0.06640625	0.999887738	0.999302186	0.995398027	1	0.000715036509	0	0	0	0	0	3
175	72	0	0.068359375	0.999697142	0.999313157	0.995398027	1	0.000715036509	0	0	0	0	0	3
180	74	0	0.0703125	0.999452852	0.999316932	0.995398027	1	0.000715036509	0	0	0	0	0	3
185	76	0	0.072265625	0.999210422	0.999314129	0.995398027	1	0.000715036509	0	0	0	0	0	3
190	78	0	0.07421875	0.999057912	0.99930756	0.995398027	1	0.000715036509	0	0	0	0	0	3
195	81	0	0.076171875	0.998941051	0.999298397	0.995398027	1	0.000715036509	0	0	0	0	0	3
200	83	0	0.078125	0.998828403	0.999286934	0.995398027	1	0.000715036509	0	0	0	0	0	3
205	86	0	0.080078125	0.998677486	0.999272423	0.995398027	1	0.000727577006	0	0	0	0	0	3
210	91	0	0.08203125	0.998450653	0.999253312	0.995398027	1	0.000746687933	0	0	0	0	0	3
215	93	0	0.083984375	0.998183747	0.999229004	0.995398027	1	0.00077099624	0	0	0	0	0	3
220	95	0	0.0859375	0.997840329	0.999198144	0.995398027	1	0.000801855689	0	0	0	0	0	3
225	97	0	0.087890625	0.997428931	0.999159683	0.995398027	1	0.000840316837	0	0	0	0	0	3
230	99	0	0.08984375	0.997032834	0.999114431	0.995398027	1	0.000885568954	0	0	0	0	0	3
235	101	0	0.091796875	0.99659128	0.999061865	0.995398027	1	0.000938134611	0	0	0	0	0	3
240	104	0	0.09375	0.996021967	0.998999827	0.995398027	1	0.00100017335	0	0	0	0	0	3
245	106	0	0.095703125	0.995443685	0.998928704	0.995398027	1	0.00107129618	0	0	0	0	0	3
250	108	0	0.09765625	0.994864405	0.998849012	0.994864405	1	0.00115098831	0	0	0	0	0	3
255	110	0	0.099609375	0.994289175	0.998761323	0.994289175	1	0.00123867748	0	0	0	0	0	3
260	112	0	0.1015625	0.993655749	0.998664991	0.993655749	1	0.00133500905	0	0	0	0	0	3
265	114	0	0.103515625	0.993023132	0.998560512	0.993023132	1	0.00143948793	0	0	0	0	0	3
270	116	0	0.10546875	0.992368669	0.998447933	0.992368669	1	0.00155206688	0	0	0	0	0	3
275	118	0	0.107421875	0.991723768	0.998327859	0.991723768	1	0.00167214126	0	0	0	0	0	3
280	120	0	0.109375	0.991053663	0.998200241	0.991053663	1	0.00179975874	0	0	0	0	0	3
285	122	0	0.111328125	0.990310561	0.998064212	0.990310561	1	0.00193578772	0	0	0	0	0	3
290	125	0	0.11328125	0.989589162	0.997920567	0.989589162	1	0.00207943263	0	0	0	0	0	3
295	127	0	0.115234375	0.988876194	0.997769828	0.988876194	1	0.00223017218	0	0	0	0	0	3
300	129	0	0.1171875	0.988201208	0.997612965	0.988201208	1	0.00238703481	0	0	0	0	0	3
305	132	0	0.119140625	0.9875551	0.997450742	0.9875551	1	0.00254925845	0	0	0	0	0	3
310	134	0	0.12109375	0.986903477	0.997283325	0.986903477	1	0.00271667534	0	0	0	0	0	3
315	136	0	0.123046875	0.986273497	0.997111296	0.986273497	1	0.00288870391	0	0	0	0	0	3
320	138	0	0.125	0.985650328	0.996934974	0.985650328	1	0.00306502649	0	0	0	0	0	3
325	140	0	0.126953125	0.985056184	0.996754992	0.985056184	1	0.00324500815	0	0	0	0	0	3
330	142	0	0.12890625	0.984466724	0.996571585	0.984466724	1	0.00342841513	0	0	0	0	0	3
335	144	0	0.130859375	0.992634781	0.996513691	0.984466724	1	0.0034863093	0	0	0	0	0	3
340	146	0	0.1328125	0.992232552	0.996451645	0.984466724	1	0.0035483548	0	0	0	0	0	3
345	148	0	0.134765625	0.991938075	0.996387166	0.984466724	1	0.00361283437	0	0	0	0	0	3
350	150	0	0.13671875	0.9915686	0.996319299	0.984466724	1	0.00368070149	0	0	0	0	0	3
355	152	0	0.138671875	0.991101664	0.996246831	0.984466724	1	0.00375316863	0	0	0	0	0	3
360	154	0	0.140625	0.990539259	0.996168645	0.984466724	1	0.00383135456	0	0	0	0	0	3
365	156	0	0.142578125	0.989893967	0.996083852	0.984466724	1	0.00391614752	0	0	0	0	0	3
370	158	0	0.14453125	0.989213359	0.995992246	0.984466724	1	0.00400775409	0	0	0	0	0	3
375	160	0	0.146484375	0.988546373	0.995894274	0.984466724	1	0.0041057261	0	0	0	0	0	3
380	162	0	0.1484375	0.987915938	0.995790659	0.984466724	1	0.00420934086	0	0	0	0	0	3
