Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	242.018611	242.018611	242.018611	242.018611	0	0	0	0	0	0	3
5	2	0	0.001953125	242.035223	242.026917	242.018611	242.035223	0.00830595681	0	0	0	0	0	3
10	3	0	0.00390625	242.035439	242.029758	242.018611	242.035439	0.0111468289	0	0	0	0	0	3
15	5	0	0.005859375	242.049439	242.034678	242.018611	242.049439	0.016067188	0	0	0	0	0	3
20	6	0	0.0078125	242.036173	242.034977	242.018611	242.049439	0.0163661455	0	0	0	0	0	3
25	7	0	0.009765625	242.035199	242.035014	242.018611	242.049439	0.0164031093	0	0	0	0	0	3
30	8	0	0.01171875	242.035272	242.035051	242.018611	242.049439	0.0164399593	0	0	0	0	0	3
35	9	0	0.013671875	242.035645	242.035125	242.018611	242.049439	0.0165141832	0	0	0	0	0	3
40	11	0	0.015625	242.036196	242.035244	242.018611	242.049439	0.0166332172	0	0	0	0	0	3
45	12	0	0.017578125	242.036464	242.035366	242.018611	242.049439	0.0167551753	0	0	0	0	0	3
50	13	0	0.01953125	242.036711	242.035488	242.018611	242.049439	0.0168774455	0	0	0	0	0	3
55	15	0	0.021484375	242.036804	242.035598	242.018611	242.049439	0.0169870476	0	0	0	0	0	3
60	17	0	0.0234375	242.037032	242.035708	242.018611	242.049439	0.0170974019	0	0	0	0	0	3
65	20	0	0.025390625	242.037115	242.035809	242.018611	242.049439	0.0171978967	0	0	0	0	0	3
70	23	0	0.02734375	242.037251	242.035905	242.018611	242.049439	0.017294081	0	0	0	0	0	3
75	25	0	0.029296875	242.037319	242.035993	242.018611	242.049439	0.0173824907	0	0	0	0	0	3
80	28	0	0.03125	242.037537	242.036084	242.018611	242.049439	0.0174732998	0	0	0	0	0	3
85	30	0	0.033203125	242.037401	242.036157	242.018611	242.049439	0.0175464868	0	0	0	0	0	3
90	33	0	0.03515625	242.037512	242.036229	242.018611	242.049439	0.0176178009	0	0	0	0	0	3
95	35	0	0.037109375	242.03767	242.036301	242.018611	242.049439	0.0176898755	0	0	0	0	0	3
100	37	0	0.0390625	242.037845	242.036374	242.018611	242.049439	0.0177634104	0	0	0	0	0	3
105	40	0	0.041015625	242.018231	242.03555	242.018231	242.049439	0.0177634104	0	0	0	0	0	3
110	43	0	0.04296875	241.982983	242.033264	241.982983	242.049439	0.0177634104	0	0	0	0	0	3
115	45	0	0.044921875	241.934276	242.02914	241.934276	242.049439	0.0177634104	0	0	0	0	0	3
120	48	0	0.046875	241.882898	242.02329	241.882898	242.049439	0.0177634104	0	0	0	0	0	3
125	50	0	0.048828125	241.802462	242.014797	241.802462	242.049439	0.0215777215	0	0	0	0	0	3
130	52	0	0.05078125	241.714088	242.003659	241.714088	242.049439	0.0327150821	0	0	0	0	0	3
135	54	0	0.052734375	241.629761	241.990306	241.629761	242.049439	0.0460685732	0	0	0	0	0	3
140	57	0	0.0546875	241.528328	241.974375	241.528328	242.049439	0.0619988275	0	0	0	0	0	3
145	59	0	0.056640625	241.409464	241.955545	241.409464	242.049439	0.080829196	0	0	0	0	0	3
150	61	0	0.05859375	241.293416	241.934186	241.293416	242.049439	0.102188201	0	0	0	0	0	3
155	63	0	0.060546875	241.135793	241.909236	241.135793	242.049439	0.127137981	0	0	0	0	0	3
160	65	0	0.0625	240.945182	241.880022	240.945182	242.049439	0.156351761	0	0	0	0	0	3
165	67	0	0.064453125	240.744903	241.846637	240.744903	242.049439	0.189737615	0	0	0	0	0	3
170	70	0	0.06640625	267.317123	242.574365	240.744903	267.317123	0.72772818	0	0	0	0	0	3
175	72	0	0.068359375	267.269558	243.260342	240.744903	267.317123	1.41370577	0	0	0	0	0	3
180	74	0	0.0703125	267.203233	243.907448	240.744903	267.317123	2.06081092	0	0	0	0	0	3
185	76	0	0.072265625	267.13793	244.518776	240.744903	267.317123	2.67213941	0	0	0	0	0	3
190	78	0	0.07421875	267.09693	245.097703	240.744903	267.317123	3.25106643	0	0	0	0	0	3
195	81	0	0.076171875	267.060846	245.646782	240.744903	267.317123	3.80014501	0	0	0	0	0	3
200	83	0	0.078125	267.030645	246.168339	240.744903	267.317123	4.32170265	0	0	0	0	0	3
205	86	0	0.080078125	266.98704	246.664023	240.744903	267.317123	4.81738599	0	0	0	0	0	3
210	91	0	0.08203125	266.92103	247.135116	240.744903	267.317123	5.2884792	0	0	0	0	0	3
215	93	0	0.083984375	266.846735	247.583107	240.744903	267.317123	5.73647054	0	0	0	0	0	3
220	95	0	0.0859375	266.734334	248.00869	240.744903	267.317123	6.16205336	0	0	0	0	0	3
225	97	0	0.087890625	266.616332	248.413204	240.744903	267.317123	6.56656732	0	0	0	0	0	3
230	99	0	0.08984375	266.498702	248.798002	240.744903	267.317123	6.95136516	0	0	0	0	0	3
235	101	0	0.091796875	266.326724	249.163183	240.744903	267.317123	7.31654686	0	0	0	0	0	3
240	104	0	0.09375	266.143901	249.509729	240.744903	267.317123	7.66309212	0	0	0	0	0	3
245	106	0	0.095703125	265.958354	249.838701	240.744903	267.317123	7.99206462	0	0	0	0	0	3
250	108	0	0.09765625	265.754535	250.150776	240.744903	267.317123	8.30413978	0	0	0	0	0	3
255	110	0	0.099609375	265.535565	250.446638	240.744903	267.317123	8.6000011	0	0	0	0	0	3
260	112	0	0.1015625	265.291075	250.726721	240.744903	267.317123	8.88008483	0	0	0	0	0	3
265	114	0	0.103515625	265.040791	250.991797	240.744903	267.317123	9.14516019	0	0	0	0	0	3
270	116	0	0.10546875	264.740782	251.241778	240.744903	267.317123	9.39514173	0	0	0	0	0	3
275	118	0	0.107421875	264.440223	251.477465	240.744903	267.317123	9.63082824	0	0	0	0	0	3
280	120	0	0.109375	264.133519	251.699501	240.744903	267.317123	9.85286428	0	0	0	0	0	3
285	122	0	0.111328125	263.823161	251.90853	240.744903	267.317123	10.0618929	0	0	0	0	0	3
290	125	0	0.11328125	263.504604	252.105073	240.744903	267.317123	10.2584365	0	0	0	0	0	3
295	127	0	0.115234375	263.180661	252.289666	240.744903	267.317123	10.4430297	0	0	0	0	0	3
300	129	0	0.1171875	262.832748	252.462504	240.744903	267.317123	10.6158671	0	0	0	0	0	3
305	132	0	0.119140625	262.475219	252.623999	240.744903	267.317123	10.7773625	0	0	0	0	0	3
310	134	0	0.12109375	262.126253	252.774829	240.744903	267.317123	10.9281919	0	0	0	0	0	3
315	136	0	0.123046875	261.773841	252.915438	240.744903	267.317123	11.0688015	0	0	0	0	0	3
320	138	0	0.125	261.418619	253.046256	240.744903	267.317123	11.1996196	0	0	0	0	0	3
325	140	0	0.126953125	261.056066	253.167617	240.744903	267.317123	11.3209804	0	0	0	0	0	3
330	142	0	0.12890625	260.693073	253.279937	240.744903	267.317123	11.4333006	0	0	0	0	0	3
335	144	0	0.130859375	277.135333	253.630752	240.744903	277.135333	11.7841153	0	0	0	0	0	3
340	146	0	0.1328125	276.937609	253.968532	240.744903	277.135333	12.1218958	0	0	0	0	0	3
345	148	0	0.134765625	276.791039	254.294568	240.744903	277.135333	12.4479316	0	0	0	0	0	3
350	150	0	0.13671875	276.625506	254.609088	240.744903	277.135333	12.7624519	0	0	0	0	0	3
355	152	0	0.138671875	276.411652	254.911902	240.744903	277.135333	13.0652653	0	0	0	0	0	3
360	154	0	0.140625	276.152039	255.202863	240.744903	277.135333	13.356226	0	0	0	0	0	3
365	156	0	0.142578125	275.857449	255.481979	240.744903	277.135333	13.6353421	0	0	0	0	0	3
370	158	0	0.14453125	275.549877	255.749551	240.744903	277.135333	13.902914	0	0	0	0	0	3
375	160	0	0.146484375	275.230014	256.005873	240.744903	277.135333	14.1592359	0	0	0	0	0	3
380	162	0	0.1484375	274.893005	256.25116	240.744903	277.135333	14.4045233	0	0	0	0	0	3
385	164	0	0.150390625	274.54642	256.485715	240.744903	277.135333	14.639078	0	0	0	0	0	3
390	166	0	0.15234375	274.207473	256.710041	240.744903	277.135333	14.863404	0	0	0	0	0	3
395	168	0	0.154296875	273.866954	256.924502	240.744903	277.135333	15.0778654	0	0	0	0	0	3
400	170	0	0.15625	273.519173	257.129375	240.744903	277.135333	15.2827379	0	0	0	0	0	3
405	173	0	0.158203125	273.172205	257.325019	240.744903	277.135333	15.4783822	0	0	0	0	0	3
410	175	0	0.16015625	272.817285	257.511673	240.744903	277.135333	15.665036	0	0	0	0	0	3
