Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	0.0759688298	0.0759688298	0.0759688298	0.0759688298	0	0	0	0	0	0	3
5	2	0	0.001953125	0.0759740442	0.075971437	0.0759688298	0.0759740442	2.60721197e-06	0	0	0	0	0	3
10	3	0	0.00390625	0.0759741122	0.0759723287	0.0759688298	0.0759741122	3.49895217e-06	0	0	0	0	0	3
15	5	0	0.005859375	0.0759785067	0.0759738732	0.0759688298	0.0759785067	5.04343639e-06	0	0	0	0	0	3
20	6	0	0.0078125	0.0759743424	0.0759739671	0.0759688298	0.0759785067	5.13727815e-06	0	0	0	0	0	3
25	7	0	0.009765625	0.0759740367	0.0759739787	0.0759688298	0.0759785067	5.14888095e-06	0	0	0	0	0	3
30	8	0	0.01171875	0.0759740596	0.0759739902	0.0759688298	0.0759785067	5.16044807e-06	0	0	0	0	0	3
35	9	0	0.013671875	0.0759741766	0.0759740135	0.0759688298	0.0759785067	5.18374669e-06	0	0	0	0	0	3
40	11	0	0.015625	0.0759743498	0.0759740509	0.0759688298	0.0759785067	5.22111106e-06	0	0	0	0	0	3
45	12	0	0.017578125	0.0759744337	0.0759740892	0.0759688298	0.0759785067	5.2593933e-06	0	0	0	0	0	3
50	13	0	0.01953125	0.0759745114	0.0759741276	0.0759688298	0.0759785067	5.2977735e-06	0	0	0	0	0	3
55	15	0	0.021484375	0.0759745404	0.075974162	0.0759688298	0.0759785067	5.33217725e-06	0	0	0	0	0	3
60	17	0	0.0234375	0.0759746123	0.0759741966	0.0759688298	0.0759785067	5.36681707e-06	0	0	0	0	0	3
65	20	0	0.025390625	0.0759746382	0.0759742282	0.0759688298	0.0759785067	5.39836205e-06	0	0	0	0	0	3
70	23	0	0.02734375	0.075974681	0.0759742583	0.0759688298	0.0759785067	5.42855399e-06	0	0	0	0	0	3
75	25	0	0.029296875	0.0759747024	0.0759742861	0.0759688298	0.0759785067	5.45630551e-06	0	0	0	0	0	3
80	28	0	0.03125	0.0759747707	0.0759743146	0.0759688298	0.0759785067	5.48481016e-06	0	0	0	0	0	3
85	30	0	0.033203125	0.0759747281	0.0759743376	0.0759688298	0.0759785067	5.50778333e-06	0	0	0	0	0	3
90	33	0	0.03515625	0.0759747629	0.07597436	0.0759688298	0.0759785067	5.53016857e-06	0	0	0	0	0	3
95	35	0	0.037109375	0.0759748124	0.0759743826	0.0759688298	0.0759785067	5.55279256e-06	0	0	0	0	0	3
100	37	0	0.0390625	0.0759748673	0.0759744057	0.0759688298	0.0759785067	5.57587491e-06	0	0	0	0	0	3
105	40	0	0.041015625	0.0759687105	0.0759741468	0.0759687105	0.0759785067	5.57587491e-06	0	0	0	0	0	3
110	43	0	0.04296875	0.0759576465	0.0759734294	0.0759576465	0.0759785067	5.57587491e-06	0	0	0	0	0	3
115	45	0	0.044921875	0.0759423575	0.0759721347	0.0759423575	0.0759785067	5.57587491e-06	0	0	0	0	0	3
120	48	0	0.046875	0.0759262298	0.0759702985	0.0759262298	0.0759785067	5.57587491e-06	0	0	0	0	0	3
125	50	0	0.048828125	0.0759009815	0.0759676325	0.0759009815	0.0759785067	6.77317436e-06	0	0	0	0	0	3
