Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.001953125	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.00390625	0	0	0	0	0	0	0	0	0	0	3
15	5	0	0.005859375	0	0	0	0	0	0	0	0	0	0	3
20	6	0	0.0078125	0	0	0	0	0	0	0	0	0	0	3
25	7	0	0.009765625	0	0	0	0	0	0	0	0	0	0	3
30	8	0	0.01171875	0	0	0	0	0	0	0	0	0	0	3
35	9	0	0.013671875	0	0	0	0	0	0	0	0	0	0	3
40	11	0	0.015625	0	0	0	0	0	0	0	0	0	0	3
45	12	0	0.017578125	0	0	0	0	0	0	0	0	0	0	3
50	13	0	0.01953125	0	0	0	0	0	0	0	0	0	0	3
55	15	0	0.021484375	0	0	0	0	0	0	0	0	0	0	3
60	17	0	0.0234375	0	0	0	0	0	0	0	0	0	0	3
65	20	0	0.025390625	0	0	0	0	0	0	0	0	0	0	3
70	23	0	0.02734375	0	0	0	0	0	0	0	0	0	0	3
75	25	0	0.029296875	0	0	0	0	0	0	0	0	0	0	3
80	28	0	0.03125	0	0	0	0	0	0	0	0	0	0	3
85	30	0	0.033203125	0	0	0	0	0	0	0	0	0	0	3
90	33	0	0.03515625	0	0	0	0	0	0	0	0	0	0	3
95	35	0	0.037109375	0	0	0	0	0	0	0	0	0	0	3
100	37	0	0.0390625	0	0	0	0	0	0	0	0	0	0	3
105	40	0	0.041015625	0	0	0	0	0	0	0	0	0	0	3
110	43	0	0.04296875	0	0	0	0	0	0	0	0	0	0	3
115	45	0	0.044921875	0	0	0	0	0	0	0	0	0	0	3
120	48	0	0.046875	0	0	0	0	0	0	0	0	0	0	3
125	50	0	0.048828125	0	0	0	0	0	0	0	0	0	0	3
130	52	0	0.05078125	0	0	0	0	0	0	0	0	0	0	3
135	54	0	0.052734375	0	0	0	0	0	0	0	0	0	0	3
140	57	0	0.0546875	0	0	0	0	0	0	0	0	0	0	3
145	59	0	0.056640625	0	0	0	0	0	0	0	0	0	0	3
150	61	0	0.05859375	0	0	0	0	0	0	0	0	0	0	3
155	63	0	0.060546875	0	0	0	0	0	0	0	0	0	0	3
160	65	0	0.0625	0	0	0	0	0	0	0	0	0	0	3
165	67	0	0.064453125	0	0	0	0	0	0	0	0	0	0	3
170	70	0	0.06640625	0	0	0	0	0	0	0	0	0	0	3
175	72	0	0.068359375	0	0	0	0	0	0	0	0	0	0	3
180	74	0	0.0703125	0	0	0	0	0	0	0	0	0	0	3
185	76	0	0.072265625	0	0	0	0	0	0	0	0	0	0	3
190	78	0	0.07421875	0	0	0	0	0	0	0	0	0	0	3
195	81	0	0.076171875	0	0	0	0	0	0	0	0	0	0	3
200	83	0	0.078125	0	0	0	0	0	0	0	0	0	0	3
205	86	0	0.080078125	0	0	0	0	0	0	0	0	0	0	3
210	91	0	0.08203125	0	0	0	0	0	0	0	0	0	0	3
215	93	0	0.083984375	0	0	0	0	0	0	0	0	0	0	3
220	95	0	0.0859375	0	0	0	0	0	0	0	0	0	0	3
225	97	0	0.087890625	0	0	0	0	0	0	0	0	0	0	3
230	99	0	0.08984375	0	0	0	0	0	0	0	0	0	0	3
235	101	0	0.091796875	0	0	0	0	0	0	0	0	0	0	3
240	104	0	0.09375	0	0	0	0	0	0	0	0	0	0	3
245	106	0	0.095703125	0	0	0	0	0	0	0	0	0	0	3
250	108	0	0.09765625	0	0	0	0	0	0	0	0	0	0	3
255	110	0	0.099609375	0	0	0	0	0	0	0	0	0	0	3
260	112	0	0.1015625	0	0	0	0	0	0	0	0	0	0	3
265	114	0	0.103515625	0	0	0	0	0	0	0	0	0	0	3
270	116	0	0.10546875	0	0	0	0	0	0	0	0	0	0	3
275	118	0	0.107421875	0	0	0	0	0	0	0	0	0	0	3
280	120	0	0.109375	0	0	0	0	0	0	0	0	0	0	3
285	122	0	0.111328125	0	0	0	0	0	0	0	0	0	0	3
290	125	0	0.11328125	0	0	0	0	0	0	0	0	0	0	3
295	127	0	0.115234375	0	0	0	0	0	0	0	0	0	0	3
300	129	0	0.1171875	0	0	0	0	0	0	0	0	0	0	3
305	132	0	0.119140625	0	0	0	0	0	0	0	0	0	0	3
310	134	0	0.12109375	0	0	0	0	0	0	0	0	0	0	3
315	136	0	0.123046875	0	0	0	0	0	0	0	0	0	0	3
320	138	0	0.125	0	0	0	0	0	0	0	0	0	0	3
325	140	0	0.126953125	0	0	0	0	0	0	0	0	0	0	3
330	142	0	0.12890625	0	0	0	0	0	0	0	0	0	0	3
335	144	0	0.130859375	0	0	0	0	0	0	0	0	0	0	3
340	146	0	0.1328125	0	0	0	0	0	0	0	0	0	0	3
345	148	0	0.134765625	0	0	0	0	0	0	0	0	0	0	3
350	150	0	0.13671875	0	0	0	0	0	0	0	0	0	0	3
355	152	0	0.138671875	0	0	0	0	0	0	0	0	0	0	3
360	154	0	0.140625	0	0	0	0	0	0	0	0	0	0	3
365	156	0	0.142578125	0	0	0	0	0	0	0	0	0	0	3
370	158	0	0.14453125	0	0	0	0	0	0	0	0	0	0	3
375	160	0	0.146484375	0	0	0	0	0	0	0	0	0	0	3
380	162	0	0.1484375	0	0	0	0	0	0	0	0	0	0	3
385	164	0	0.150390625	0	0	0	0	0	0	0	0	0	0	3
390	166	0	0.15234375	0	0	0	0	0	0	0	0	0	0	3
395	168	0	0.154296875	0	0	0	0	0	0	0	0	0	0	3
400	170	0	0.15625	0	0	0	0	0	0	0	0	0	0	3
405	173	0	0.158203125	0	0	0	0	0	0	0	0	0	0	3
410	175	0	0.16015625	0	0	0	0	0	0	0	0	0	0	3
415	177	0	0.162109375	0	0	0	0	0	0	0	0	0	0	3
420	179	0	0.1640625	0	0	0	0	0	0	0	0	0	0	3
425	181	0	0.166015625	0	0	0	0	0	0	0	0	0	0	3
430	183	0	0.16796875	0	0	0	0	0	0	0	0	0	0	3
435	185	0	0.169921875	0	0	0	0	0	0	0	0	0	0	3
440	187	0	0.171875	0	0	0	0	0	0	0	0	0	0	3
445	189	0	0.173828125	0	0	0	0	0	0	0	0	0	0	3
450	191	0	0.17578125	0	0	0	0	0	0	0	0	0	0	3
455	192	0	0.177734375	0	0	0	0	0	0	0	0	0	0	3
460	195	0	0.1796875	0	0	0	0	0	0	0	0	0	0	3
465	196	0	0.181640625	0	0	0	0	0	0	0	0	0	0	3
470	198	0	0.18359375	0	0	0	0	0	0	0	0	0	0	3
475	200	0	0.185546875	0	0	0	0	0	0	0	0	0	0	3
480	202	0	0.1875	0	0	0	0	0	0	0	0	0	0	3
485	204	0	0.189453125	0	0	0	0	0	0	0	0	0	0	3
490	205	0	0.19140625	0	0	0	0	0	0	0	0	0	0	3
