Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	0.0133880344	0.0133880344	0.0133880344	0.0133880344	0	0	0	0	0	0	3
5	2	0	0.001953125	0.0216310455	0.01750954	0.0133880344	0.0216310455	0.00412150557	0	0	0	0	0	3
10	3	0	0.00390625	0.127537168	0.054185416	0.0133880344	0.127537168	0.0407973816	0	0	0	0	0	3
15	5	0	0.005859375	0.210288044	0.0932110729	0.0133880344	0.210288044	0.0798230385	0	0	0	0	0	3
20	6	0	0.0078125	0.343201698	0.143209198	0.0133880344	0.343201698	0.129821163	0	0	0	0	0	3
25	7	0	0.009765625	0.451188703	0.194539115	0.0133880344	0.451188703	0.181151081	0	0	0	0	0	3
30	8	0	0.01171875	0.563449339	0.247240576	0.0133880344	0.563449339	0.233852542	0	0	0	0	0	3
35	9	0	0.013671875	0.676862105	0.300943267	0.0133880344	0.676862105	0.287555233	0	0	0	0	0	3
40	11	0	0.015625	0.793837428	0.355709285	0.0133880344	0.793837428	0.342321251	0	0	0	0	0	3
45	12	0	0.017578125	0.924059883	0.412544345	0.0133880344	0.924059883	0.39915631	0	0	0	0	0	3
50	13	0	0.01953125	1.07349245	0.472630536	0.0133880344	1.07349245	0.459242502	0	0	0	0	0	3
55	15	0	0.021484375	1.2191462	0.534840174	0.0133880344	1.2191462	0.52145214	0	0	0	0	0	3
60	17	0	0.0234375	1.38802838	0.600470036	0.0133880344	1.38802838	0.587082002	0	0	0	0	0	3
65	20	0	0.025390625	1.55151924	0.668402122	0.0133880344	1.55151924	0.655014088	0	0	0	0	0	3
70	23	0	0.02734375	1.75338947	0.740734612	0.0133880344	1.75338947	0.727346577	0	0	0	0	0	3
75	25	0	0.029296875	1.947974	0.816187073	0.0133880344	1.947974	0.802799039	0	0	0	0	0	3
80	28	0	0.03125	2.16789495	0.895699301	0.0133880344	2.16789495	0.882311267	0	0	0	0	0	3
85	30	0	0.033203125	2.38205366	0.978274544	0.0133880344	2.38205366	0.964886509	0	0	0	0	0	3
90	33	0	0.03515625	2.60946717	1.06412679	0.0133880344	2.60946717	1.05073875	0	0	0	0	0	3
95	35	0	0.037109375	2.81655484	1.15174819	0.0133880344	2.81655484	1.13836016	0	0	0	0	0	3
100	37	0	0.0390625	3.03584954	1.2414673	0.0133880344	3.03584954	1.22807927	0	0	0	0	0	3
105	40	0	0.041015625	3.23830232	1.33223253	0.0133880344	3.23830232	1.3188445	0	0	0	0	0	3
110	43	0	0.04296875	3.44372301	1.42403646	0.0133880344	3.44372301	1.41064843	0	0	0	0	0	3
115	45	0	0.044921875	3.63933271	1.51634047	0.0133880344	3.63933271	1.50295244	0	0	0	0	0	3
120	48	0	0.046875	3.82886981	1.60884165	0.0133880344	3.82886981	1.59545361	0	0	0	0	0	3
125	50	0	0.048828125	4.01659234	1.70144744	0.0133880344	4.01659234	1.68805941	0	0	0	0	0	3
130	52	0	0.05078125	4.19501203	1.79380169	0.0133880344	4.19501203	1.78041365	0	0	0	0	0	3
135	54	0	0.052734375	4.36886355	1.88576818	0.0133880344	4.36886355	1.87238015	0	0	0	0	0	3
140	57	0	0.0546875	4.53327944	1.97706167	0.0133880344	4.53327944	1.96367364	0	0	0	0	0	3
145	59	0	0.056640625	4.69458662	2.06764584	0.0133880344	4.69458662	2.0542578	0	0	0	0	0	3
150	61	0	0.05859375	4.84366072	2.15719471	0.0133880344	4.84366072	2.14380667	0	0	0	0	0	3
