Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.000390625	299.829582	299.829582	299.829582	299.829582	0	0	0	0	0	0	3
5	2	0	0.001953125	299.528903	299.679243	299.528903	299.829582	0.150339662	0	0	0	0	0	3
10	3	0	0.00390625	299.194617	299.517701	299.194617	299.829582	0.311881692	0	0	0	0	0	3
15	5	0	0.005859375	298.948022	299.375281	298.948022	299.829582	0.454301467	0	0	0	0	0	3
20	6	0	0.0078125	298.712723	299.242769	298.712723	299.829582	0.586813115	0	0	0	0	0	3
25	7	0	0.009765625	298.421716	299.105927	298.421716	299.829582	0.723655298	0	0	0	0	0	3
30	8	0	0.01171875	298.228728	298.980613	298.228728	299.829582	0.848969441	0	0	0	0	0	3
35	9	0	0.013671875	297.897121	298.845176	297.897121	299.829582	0.984405881	0	0	0	0	0	3
40	11	0	0.015625	297.647388	298.712089	297.647388	299.829582	1.11749344	0	0	0	0	0	3
45	12	0	0.017578125	297.170236	298.557904	297.170236	299.829582	1.27167873	0	0	0	0	0	3
50	13	0	0.01953125	296.897599	298.406967	296.897599	299.829582	1.42261551	0	0	0	0	0	3
55	15	0	0.021484375	296.381567	298.238184	296.381567	299.829582	1.59139882	0	0	0	0	0	3
60	17	0	0.0234375	295.914589	298.059445	295.914589	299.829582	1.77013689	0	0	0	0	0	3
65	20	0	0.025390625	295.280422	297.860944	295.280422	299.829582	1.96863857	0	0	0	0	0	3
70	23	0	0.02734375	294.699444	297.650177	294.699444	299.829582	2.1794052	0	0	0	0	0	3
75	25	0	0.029296875	293.968923	297.420099	293.968923	299.829582	2.40948356	0	0	0	0	0	3
80	28	0	0.03125	293.342146	297.180219	293.342146	299.829582	2.64936313	0	0	0	0	0	3
85	30	0	0.033203125	292.546871	296.922811	292.546871	299.829582	2.90677139	0	0	0	0	0	3
90	33	0	0.03515625	291.850235	296.655833	291.850235	299.829582	3.17374908	0	0	0	0	0	3
